run_id,scenario,regime,delay,depth,attempted,accepted,unauthorized_accepted,invalid_grants,budget_excess,post_revocation,unsafe_accepted,legitimate_opportunities,legitimate_completed,legitimate_blocked,false_hold_blocks,reports,resolved,resolution_latency,unresolved,spent
legitimate-log-d0-h1,legitimate,log,0,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-log-d0-h3,legitimate,log,0,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-log-d2-h1,legitimate,log,2,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-log-d2-h3,legitimate,log,2,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-log-d6-h1,legitimate,log,6,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-log-d6-h3,legitimate,log,6,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-local-d0-h1,legitimate,local,0,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-local-d0-h3,legitimate,local,0,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-local-d2-h1,legitimate,local,2,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-local-d2-h3,legitimate,local,2,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-local-d6-h1,legitimate,local,6,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-local-d6-h3,legitimate,local,6,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-hierarchy-d0-h1,legitimate,hierarchy,0,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-hierarchy-d0-h3,legitimate,hierarchy,0,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-hierarchy-d2-h1,legitimate,hierarchy,2,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-hierarchy-d2-h3,legitimate,hierarchy,2,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-hierarchy-d6-h1,legitimate,hierarchy,6,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-hierarchy-d6-h3,legitimate,hierarchy,6,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-review-d0-h1,legitimate,review,0,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-review-d0-h3,legitimate,review,0,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-review-d2-h1,legitimate,review,2,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-review-d2-h3,legitimate,review,2,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-review-d6-h1,legitimate,review,6,1,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
legitimate-review-d6-h3,legitimate,review,6,3,4,4,0,0,0,0,0,4,4,0,0,0,0,,0,40
split_budget-log-d0-h1,split_budget,log,0,1,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-log-d0-h3,split_budget,log,0,3,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-log-d2-h1,split_budget,log,2,1,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-log-d2-h3,split_budget,log,2,3,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-log-d6-h1,split_budget,log,6,1,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-log-d6-h3,split_budget,log,6,3,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-local-d0-h1,split_budget,local,0,1,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-local-d0-h3,split_budget,local,0,3,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-local-d2-h1,split_budget,local,2,1,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-local-d2-h3,split_budget,local,2,3,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-local-d6-h1,split_budget,local,6,1,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
split_budget-local-d6-h3,split_budget,local,6,3,4,4,2,0,60,0,0,2,2,0,0,0,0,,0,160
